dateTime,temperature
2017-05-16 15:24:37,33
2017-10-01 23:05:36,148
2017-06-06 07:53:56,-49
2017-01-17 15:58:23,-55
2016-12-14 17:02:06,15
2016-09-21 17:33:28,-68
2016-01-27 04:43:07,-124
2017-05-24 21:05:30,-60
2017-02-17 08:39:08,111
2017-05-16 06:34:39,109
2017-08-15 11:40:08,-22
2016-10-26 20:16:21,34
2017-04-12 13:53:48,19
2016-12-06 11:00:55,-80
2017-04-17 22:53:52,-9
2016-02-17 18:52:43,-27
2016-09-17 01:25:37,129
2015-12-19 12:59:27,136
2016-12-29 23:01:32,-37
2017-06-14 16:35:33,51
2017-06-26 16:25:10,6
2017-05-23 18:48:40,64
2017-05-02 07:21:49,57
2016-09-11 03:10:28,121
2016-06-30 10:51:45,-131
2016-06-10 23:10:19,102
2016-01-30 17:45:04,-87
2016-09-07 10:44:56,-9
2016-11-02 11:16:45,-92
2015-12-30 14:16:48,-37
2016-06-06 13:08:35,-20
2017-10-08 03:04:56,-46
2017-04-17 18:55:47,50
2016-02-29 23:15:07,-120
2017-02-09 10:29:42,82
2015-12-10 02:27:19,-65
2016-07-24 05:16:20,107
2016-02-17 22:34:27,-131
2016-10-23 22:48:06,7
2017-02-19 12:29:32,-138
2016-05-27 06:15:43,140
2016-04-30 18:52:58,103
2017-03-06 14:04:17,-5
2016-04-19 23:52:56,-37
2016-12-01 11:25:58,105
2016-08-10 00:03:14,76
2016-06-10 00:52:41,28
2016-12-05 02:30:30,-71
2017-10-30 19:55:03,13
2016-11-28 04:39:41,-128
2016-10-20 04:35:22,138
2017-05-19 16:08:27,19
2017-07-08 21:21:16,-33
2016-07-13 22:06:41,18
2016-08-25 03:53:52,-6
2017-01-28 18:04:52,-50
2016-12-30 17:22:23,-147
2016-05-23 07:34:47,100
2016-12-24 08:43:36,-30
2017-09-25 14:24:27,11
2017-11-10 16:50:26,-95
2017-08-05 06:50:28,142
2017-05-16 09:29:44,82
2016-07-13 12:32:57,23
2016-08-07 20:04:54,66
2017-10-09 03:39:12,118
2016-01-23 22:49:08,-128
2016-03-01 13:37:42,-51
2017-05-27 10:09:19,59
2016-05-05 20:44:05,-123
2017-03-16 22:41:44,31
2017-11-03 19:12:23,-105
2017-10-19 07:57:10,97
2015-12-16 20:06:36,51
2016-01-21 01:29:43,147
2017-06-25 21:58:27,67
2016-09-08 03:14:04,-140
2017-10-20 08:24:07,56
2016-04-07 18:21:16,-75
2017-06-19 16:57:17,61
2017-06-14 19:34:18,-126
2017-05-07 18:46:58,15
2017-01-21 01:27:27,-70
2017-10-19 18:44:43,-134
2016-02-18 09:08:58,-111
2017-06-05 14:05:51,36
2017-05-15 18:52:13,-90
2016-08-01 23:46:24,25
2016-07-02 11:16:32,117
2016-12-19 04:39:01,-12
2016-11-08 08:31:26,-135
2017-01-13 09:46:23,-20
2017-06-12 00:57:07,130
2016-06-08 12:04:23,73
2017-03-03 03:32:23,-77
2017-06-24 15:29:50,-71
2016-11-28 07:50:24,142
2016-09-11 13:00:18,136
2016-01-22 18:01:43,119
2017-08-08 23:26:17,-4
2017-10-21 03:20:31,-1
2016-06-22 19:17:12,-15
2016-05-04 09:54:29,-45
2017-07-20 21:04:54,8
2016-09-28 05:36:02,-58
2016-05-02 08:39:35,143
2017-10-05 05:22:28,-97
2017-07-16 00:49:53,-146
2016-05-29 07:32:08,-32
2017-03-08 15:30:56,-91
2016-01-03 11:42:43,-122
2017-04-16 10:17:34,-20
2017-10-01 09:22:22,92
2016-02-02 02:22:19,109
2016-09-15 21:13:49,12
2017-02-17 08:46:14,-42
2017-10-14 03:50:07,-34
2016-08-28 09:41:00,-4
2017-01-05 06:26:28,-120
2016-10-05 23:15:00,29
2016-10-30 23:06:02,138
2016-10-23 07:23:28,13
2016-02-22 00:11:35,-88
2015-12-11 13:21:57,-145
2016-04-14 16:51:45,-40
2015-11-17 11:28:35,-28
2017-06-22 19:26:57,-32
2017-05-06 03:56:55,-18
2016-07-02 07:11:56,-85
2016-09-01 10:24:11,100
2017-07-29 04:13:31,113
2016-06-04 12:07:57,92
2016-12-08 01:47:38,54
2016-06-25 03:12:44,129
2017-09-28 15:43:33,-4
2016-01-18 22:06:07,-100
2016-02-09 12:45:31,-146
2017-10-19 21:30:45,53
2016-04-11 02:23:04,-149
2017-09-11 11:39:11,35
2016-06-12 02:24:44,70
2017-07-24 16:57:24,68
2017-01-10 21:10:12,97
2016-02-02 22:51:30,-91
2016-01-30 21:35:43,44
2017-06-20 06:11:42,90
2017-07-22 14:20:42,-137
2017-01-30 18:28:16,14
2016-02-23 08:53:32,16
2017-05-25 02:44:42,37
2017-02-21 03:21:37,32
2016-01-11 08:42:06,39
2017-06-12 20:00:55,74
2016-02-09 14:23:33,80
2017-04-20 14:55:44,115
2017-06-14 18:25:07,22
2016-04-21 01:35:58,116
2016-06-14 08:28:57,-88
2017-03-02 19:13:45,-149
2017-09-10 13:35:15,-48
2016-01-12 17:29:01,145
2017-08-13 23:06:03,-81
2016-09-16 16:08:47,116
2017-06-01 11:35:12,49
2015-12-03 15:58:36,145
2015-12-28 10:13:19,119
2015-11-19 14:57:28,-51
2017-05-21 12:50:44,-47
2016-02-18 08:24:40,59
2016-06-06 11:25:58,-74
2017-05-18 23:25:20,51
2016-09-03 01:53:32,-6
2017-02-26 00:03:36,35
2017-06-03 18:30:08,38
2016-04-12 02:33:39,21
2017-10-26 12:36:44,138
2015-12-18 23:15:51,-7
2016-07-26 09:37:01,75
2017-08-09 07:33:16,97
2017-08-07 19:50:52,-112
2016-10-29 00:21:11,53
2016-02-21 11:30:00,-52
2016-07-28 10:32:42,-136
2017-05-10 21:06:40,52
2016-06-06 01:42:50,111
2017-02-06 17:07:09,25
2016-04-02 00:51:09,-76
2016-09-17 02:59:49,104
2016-02-23 12:36:41,86
2017-02-28 09:00:31,-52
2017-01-26 15:25:45,139
2017-01-12 20:20:32,-36
2015-11-30 14:58:32,-45
2016-08-19 15:32:31,-75
2015-12-09 18:39:39,93
2017-03-30 20:59:01,-38
2017-06-28 04:56:39,87
2017-08-15 21:08:05,-5
2015-12-11 13:22:52,47
2017-04-26 03:36:08,-40
2016-04-07 18:14:50,36
2017-10-06 20:54:44,-118
2016-09-01 01:40:02,-132
2017-06-17 05:33:45,-114
2016-08-28 15:47:11,-85
2016-03-01 09:51:39,84
2016-02-05 20:36:27,62
2016-10-06 00:32:48,79
2015-12-25 14:32:35,-16
2016-05-12 07:19:34,-74
2017-03-21 02:58:13,-129
2016-01-16 01:45:28,3
2017-07-27 21:20:35,-88
2016-12-14 03:20:56,-81
2016-04-12 03:42:51,101
2016-12-09 17:07:50,-48
2016-10-28 00:40:24,60
2016-08-04 05:36:18,-91
2015-11-19 00:21:26,-93
2016-08-13 20:16:35,49
2017-04-30 14:53:08,-55
2016-05-02 06:16:12,113
2017-05-14 05:34:42,-39
2017-03-08 01:31:28,44
2016-05-28 07:13:06,-89
2016-04-03 12:00:56,52
2017-05-14 14:22:47,-52
2017-05-06 09:36:40,-131
2016-09-13 07:51:10,24
2016-08-27 06:15:54,13
2016-07-27 15:17:38,-43
2017-01-22 15:11:43,78
2017-09-23 13:19:25,103
2017-04-09 03:54:37,12
2017-04-13 20:02:18,-88
2017-02-09 18:54:58,-99
2016-08-23 21:47:05,0
2016-08-03 06:15:34,-110
2017-06-20 20:23:16,-114
2017-06-25 04:33:55,-114
2016-10-04 01:01:18,-95
2017-03-02 19:30:35,58
2017-01-11 18:54:29,48
2015-11-19 17:31:51,-33
2016-11-20 16:47:01,-137
2017-03-20 06:48:03,-100
2016-08-11 19:35:45,-3
2015-11-27 03:56:32,-84
2016-07-07 01:06:47,-73
2017-01-04 01:40:39,-98
2016-04-13 17:56:23,-95
2015-11-13 01:20:00,43
2017-05-09 11:44:31,148
2016-04-08 04:02:42,-109
2016-10-15 18:06:15,123
2016-01-15 10:25:29,-82
2017-06-26 04:14:43,-105
2016-08-25 05:56:01,21
2016-12-02 21:03:11,84
2017-05-02 22:12:59,47
2016-02-28 05:25:41,135
2016-12-18 10:25:12,-118
2016-04-18 02:20:17,-138
2016-04-08 19:21:55,25
2017-09-18 18:50:30,-78
2017-11-03 17:39:30,-71
2016-01-21 09:01:40,-117
2017-10-28 14:11:47,-76
2016-08-23 02:00:53,72
2017-05-02 12:15:26,-89
2016-01-05 08:47:27,86
2016-02-29 18:17:20,-10
2017-03-18 11:38:40,-147
2016-05-09 00:23:56,107
2017-02-19 10:26:11,-27
2017-08-02 00:35:09,109
2015-11-24 06:38:19,-117
2016-03-04 20:15:48,-13
2017-02-16 02:05:57,-108
2016-08-21 03:54:24,42
2016-12-31 12:59:23,-125
2017-11-07 22:09:31,0
2017-02-16 12:56:49,-122
2016-09-15 18:05:47,98
2016-05-10 16:57:22,-118
2017-05-31 09:24:24,142
2016-04-18 00:20:28,-26
2015-11-21 08:39:02,58
2017-09-10 13:07:02,71
2016-07-11 05:11:32,-38
2016-06-26 21:54:40,-62
2015-12-15 16:41:23,-7
2017-09-21 11:24:32,58
2017-05-23 13:10:54,-128
2016-04-07 15:48:07,-75
2017-09-01 10:08:49,-28
2017-04-10 18:08:56,117
2017-11-12 19:48:39,120
2016-12-23 23:07:10,-130
2016-08-11 14:03:56,-79
2016-12-18 13:59:29,28
2016-08-15 12:01:19,-43
2016-03-16 23:59:16,56
2016-04-29 10:29:28,-67
2015-11-28 08:37:45,79
2016-03-02 18:51:39,-49
2017-05-15 11:53:01,6
2016-09-08 17:30:21,-135
2017-07-05 01:53:17,123
2017-01-30 22:07:20,-48
2017-05-07 02:10:21,68
2016-05-29 07:18:23,91
2016-05-08 01:53:18,88
2016-09-10 21:36:59,114
2017-09-03 01:59:27,2
2017-02-19 12:33:57,116
2016-09-06 04:27:31,105
2017-03-12 00:55:20,-138
2017-03-18 07:56:25,113
2017-10-06 03:24:17,-16
2016-09-19 10:13:18,7
2017-11-05 11:31:33,-100
2017-08-31 06:11:25,96
2016-05-03 19:56:36,-14
2017-07-28 08:45:31,-41
2016-10-25 14:29:15,88
2017-06-22 17:06:51,94
2017-05-27 18:53:28,135
2016-05-12 05:16:34,-34
2016-12-31 08:47:19,64
2016-11-01 13:34:23,-144
2016-07-29 21:53:13,-126
2016-08-24 04:59:02,-28
2016-07-07 06:21:55,-112
2017-08-08 00:12:37,-132
2016-04-19 04:22:50,-69
2017-07-20 01:41:39,9
2015-12-28 13:25:54,-2
2017-02-15 19:46:41,90
2015-12-13 01:38:12,-37
2016-10-22 06:17:13,24
2015-11-13 10:01:01,-123
2017-09-17 10:20:34,127
2016-03-06 04:08:42,90
2016-10-14 21:06:25,-62
2017-06-29 01:29:02,-59
2016-01-19 16:47:42,60
2015-11-29 04:39:28,-139
2016-12-27 14:54:53,-11
2016-07-25 13:32:07,-24
2017-03-06 19:02:29,-3
2016-01-31 22:15:18,29
2015-11-16 12:19:16,-112
2016-02-21 10:39:54,2
2016-06-21 20:58:27,-129
2017-03-28 04:05:47,26
2016-02-23 10:51:51,146
2016-12-08 07:39:34,-88
2016-03-10 16:24:47,-105
2016-03-13 02:58:07,77
2017-05-03 23:00:29,98
2017-05-09 16:49:56,-65
2016-11-13 04:56:33,-139
2016-05-11 14:12:03,134
2017-06-20 15:46:57,-56
2016-04-28 17:54:57,69
2017-05-30 23:04:44,-65
2017-01-18 12:42:13,99
2017-05-13 06:39:00,-71
2017-08-24 01:35:39,-86
2016-05-17 05:06:06,80
2016-09-22 06:11:46,-146
2017-04-14 10:10:09,86
2017-10-07 23:06:44,-50
2017-10-04 13:33:47,103
2016-08-28 22:26:14,100
2017-04-13 19:06:23,142
2016-04-26 10:30:46,125
2017-05-06 05:56:08,21
2017-07-04 05:33:41,-138
2016-07-24 03:13:48,93
2017-09-16 17:01:42,12
2016-06-17 20:03:11,77
2016-02-18 21:28:43,-60
2016-07-27 00:06:26,-24
2017-02-26 00:28:45,-100
2016-11-19 09:47:32,12
2016-08-21 22:40:05,-37
2015-12-03 18:03:47,-25
2016-04-15 21:10:46,52
2016-06-12 22:45:21,99
2017-08-28 22:33:32,-48
2016-06-04 11:30:35,-142
2016-07-16 02:07:46,110
2017-10-18 20:11:43,64
2017-01-18 19:54:05,-47
2016-05-16 19:05:28,-82
2015-12-31 23:26:12,14
2017-08-10 11:31:50,2
2016-05-31 21:09:26,66
2017-05-09 06:01:22,141
2017-03-20 13:01:30,59
2017-06-08 09:21:47,-114
2016-05-26 14:26:36,-20
2017-10-17 00:10:29,-45
2016-08-14 21:37:19,-44
2016-07-30 19:16:03,35
2016-11-22 05:10:32,112
2017-07-30 02:05:40,3
2017-06-29 21:43:10,-48
2017-03-25 05:21:42,102
2016-07-10 01:05:05,145
2017-05-30 05:00:47,-112
2017-05-21 21:28:03,-113
2016-09-13 14:13:17,48
2017-02-15 05:51:49,-7
2017-10-15 12:47:09,-129
2016-08-12 05:23:31,129
2017-11-12 03:16:26,135
2016-09-21 23:47:04,57
2017-10-31 10:02:06,93
2016-10-16 15:19:17,7
2016-01-24 08:29:02,7
2017-09-24 00:05:23,-121
2016-06-01 09:24:53,-109
2016-07-29 23:22:14,-61
2017-10-25 05:35:50,140
2017-10-14 16:03:24,-49
2016-09-27 08:45:25,122
2017-11-12 10:55:57,109
2017-08-16 07:33:46,-135
2017-10-20 22:15:52,45
2016-11-21 16:47:22,106
2017-09-26 05:32:07,125
2016-03-29 00:02:14,-63
2016-12-27 22:50:08,-55
2017-01-25 09:02:05,-138
2016-05-02 21:16:19,-69
2017-04-20 17:22:39,143
2017-06-15 04:09:07,1
2016-06-11 06:35:45,111
2017-02-19 08:43:01,-30
2017-05-20 18:07:26,131
2015-12-05 15:59:41,-36
2016-10-14 07:50:39,-71
2016-08-06 07:45:43,32
2016-05-04 20:31:39,-110
2016-10-19 14:10:42,3
2016-12-24 22:34:21,80
2017-03-12 05:19:31,-93
2016-09-24 08:07:46,135
2016-05-01 12:58:58,90
2017-05-18 22:18:43,62
2016-03-27 16:52:44,-82
2016-12-15 23:58:18,-33
2016-04-15 22:25:37,101
2016-12-28 14:12:14,-13
2017-10-17 20:27:46,-45
2015-11-30 22:36:55,17
2016-02-10 07:41:54,138
2017-07-18 20:45:11,-60
2016-08-22 05:09:17,10
2016-09-05 06:34:57,134
2016-11-22 20:34:40,-16
2017-07-21 21:51:35,109
2017-07-07 04:27:09,-137
2017-07-25 18:59:15,-26
2017-01-04 14:13:52,-123
2017-09-02 16:59:33,-82
2017-10-12 20:52:18,-47
2015-11-30 03:36:52,47
2016-10-26 16:32:44,-52
2016-01-16 09:29:30,-36
2017-02-01 18:07:58,129
2017-06-26 02:55:46,128
2016-03-01 03:37:35,-110
2017-09-25 05:18:26,-105
2016-11-01 19:37:04,12
2017-08-02 13:35:44,142
2016-04-30 08:41:30,103
2016-02-10 15:52:08,-139
2016-01-08 03:06:04,63
2017-10-03 05:28:22,-97
2017-03-08 22:17:37,63
2017-07-18 13:58:25,89
2017-01-04 12:16:39,-4
2016-09-11 18:05:17,-135
2016-11-22 02:23:42,117
2016-07-12 01:45:26,-24
2017-10-02 08:10:30,-69
2017-04-17 03:15:31,43
2016-08-18 01:51:02,110
2017-01-02 07:28:20,-124
2016-11-26 09:23:03,33
2016-02-17 13:13:43,-144
2017-05-17 17:32:56,115
2016-10-13 16:56:51,126
2016-05-10 19:40:51,140
2016-08-22 18:20:30,136
2016-07-23 10:38:13,15
2016-06-19 04:19:37,-33
2016-04-30 08:03:46,138
2017-07-06 15:05:01,30
2017-08-08 18:59:26,-35
2016-08-05 11:22:48,78
2017-06-14 11:08:02,-81
2016-11-01 06:46:47,-33
2016-11-23 01:28:26,-22
2017-05-23 14:39:31,-34
2016-12-31 02:31:46,4
2016-10-03 13:09:39,104
2016-05-10 01:13:05,-1
2016-05-04 21:02:37,-96
2017-06-26 19:44:11,91
2017-10-25 14:54:10,52
2017-02-26 22:31:22,35
2017-01-06 18:48:28,-20
2015-12-04 05:07:29,35
2016-06-29 06:05:12,96
2017-02-10 17:55:08,83
2017-07-25 16:34:25,-34
2017-07-19 18:07:11,135
2016-08-05 16:19:00,-103
2017-03-20 05:23:39,-42
2017-01-07 00:17:55,-16
2015-11-25 11:24:55,132
2015-12-15 06:06:04,2
2016-11-23 13:27:09,148
2017-03-27 22:29:26,-96
2017-05-25 21:52:54,52
2017-05-15 04:45:08,124
2017-04-14 08:09:06,-77
2016-05-23 00:26:12,-46
2016-06-09 22:06:02,-59
2017-01-25 05:29:58,-89
2017-06-18 14:28:21,-4
2017-07-03 14:09:15,138
